温度,气压,sla,水文,极移X,极移Y,x8poroelastic,经度,纬度,GNSS,station_id,年份,day_index,日期,day_of_year,月份,原始GNSS,模型输入GNSS,数据集类型
3.15419921875002,972.896875,0.0964,2050.45863942093,0.068687,0.304068,-0.0648613860392999,-124.1843,41.7456,-10.7302164214757,CACC,2021,1,2021-01-01,1,1,-10.7302164214757,-10.7302164214757,训练集
1.54030761718752,972.93640625,0.0938,2061.98405664195,0.067662,0.305434,-0.0742164364718614,-124.1843,41.7456,-10.7573208990877,CACC,2021,2,2021-01-02,2,1,-10.7573208990877,-10.7573208990877,训练集
-0.498693847656227,975.70171875,0.092,2078.47147857152,0.066028,0.306716,-0.0834915110874447,-124.1843,41.7456,-10.7844253766997,CACC,2021,3,2021-01-03,3,1,-10.7844253766997,-10.7844253766997,训练集
0.490625000000023,976.71515625,0.092,2099.43963610424,0.063873,0.307756,-0.0926826439133951,-124.1843,41.7456,-10.8115298543117,CACC,2021,4,2021-01-04,4,1,-10.8115298543117,-10.8115298543117,训练集
-0.867224121093727,975.445625,0.0936,2120.49279064147,0.061812,0.308638,-0.101785965680677,-124.1843,41.7456,-10.8386343319237,CACC,2021,5,2021-01-05,5,1,-10.8386343319237,-10.8386343319237,训练集
-1.96622314453123,977.594609375,0.0968,2129.20017431293,0.060406,0.309491,-0.110797706050333,-124.1843,41.7456,-10.8657388095357,CACC,2021,6,2021-01-06,6,1,-10.8657388095357,-10.8657388095357,训练集
-4.2303527832031,980.94984375,0.101,2153.23141829614,0.059577,0.31026,-0.119714195722657,-124.1843,41.7456,-10.8928432871477,CACC,2021,7,2021-01-07,7,1,-10.8928432871477,-10.8928432871477,训练集
-3.11603393554685,979.56375,0.1059,2166.03708954352,0.058942,0.311095,-0.128531868427439,-124.1843,41.7456,-10.9199477647597,CACC,2021,8,2021-01-08,8,1,-10.9199477647597,-10.9199477647597,训练集
-0.692480468749977,976.11515625,0.1115,2176.16166929351,0.058321,0.311998,-0.137247262793752,-124.1843,41.7456,-10.9470522423717,CACC,2021,9,2021-01-09,9,1,-10.9470522423717,-10.9470522423717,训练集
0.0122314453125227,974.01,0.1172,2181.10904584723,0.057953,0.313023,-0.145857024097939,-124.1843,41.7456,-10.9741567199837,CACC,2021,10,2021-01-10,10,1,-10.9741567199837,-10.9741567199837,训练集
